route_id,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,distance_km,vehicle_type,traffic_condition,effective_speed,travel_time_hrs,fuel_cost_inr,num_packages,priority,delivery_success,vehicle_enc,traffic_enc,priority_enc,dest_enc,cost_per_km,time_per_km,pkg_per_km,efficiency_score
RTE-0001,Warehouse,Pune,20.5937,78.9629,18.5204,73.8567,582.53,Van,Low,70.0,8.32,13835.09,8,Medium,1,2,1,2,15,23.75,0.0143,0.0137,0.0001
RTE-0002,Warehouse,Kochi,20.5937,78.9629,9.9312,76.2673,1220.25,Truck,Medium,48.0,25.42,40573.31,21,Medium,1,1,2,2,9,33.25,0.0208,0.0172,0.0
RTE-0003,Warehouse,Delhi,20.5937,78.9629,28.6139,77.209,909.22,Van,High,42.0,21.65,21593.98,2,Low,1,2,0,1,5,23.75,0.0238,0.0022,0.0
RTE-0004,Warehouse,Nagpur,20.5937,78.9629,21.1458,79.0882,62.76,Van,Low,70.0,0.9,1490.55,17,Medium,1,2,1,2,13,23.75,0.0143,0.2709,0.0127
RTE-0005,Warehouse,Patna,20.5937,78.9629,25.5941,85.1376,841.18,Truck,Low,60.0,14.02,27969.23,19,Medium,1,1,1,2,14,33.25,0.0167,0.0226,0.0
RTE-0006,Warehouse,Bangalore,20.5937,78.9629,12.9716,77.5946,859.94,Bike,Medium,32.0,26.87,8169.43,9,Low,1,0,2,1,1,9.5,0.0312,0.0105,0.0
RTE-0007,Warehouse,Bhopal,20.5937,78.9629,23.2599,77.4126,336.84,Bike,Medium,32.0,10.53,3199.98,21,Low,1,0,2,1,2,9.5,0.0313,0.0623,0.0006
RTE-0008,Warehouse,Pune,20.5937,78.9629,18.5204,73.8567,582.53,Van,High,42.0,13.87,13835.09,3,High,1,2,0,0,15,23.75,0.0238,0.0051,0.0
RTE-0009,Warehouse,Ahmedabad,20.5937,78.9629,23.0225,72.5714,712.86,Van,Medium,56.0,12.73,16930.42,22,Medium,1,2,2,2,0,23.75,0.0179,0.0309,0.0001
RTE-0010,Warehouse,Coimbatore,20.5937,78.9629,11.0168,76.9558,1086.28,Van,High,42.0,25.86,25799.15,4,Medium,1,2,0,2,4,23.75,0.0238,0.0037,0.0
RTE-0011,Warehouse,Ahmedabad,20.5937,78.9629,23.0225,72.5714,712.86,Van,Medium,56.0,12.73,16930.42,8,High,1,2,2,0,0,23.75,0.0179,0.0112,0.0
RTE-0012,Warehouse,Visakhapatnam,20.5937,78.9629,17.6868,83.2185,551.6,Bike,Medium,32.0,17.24,5240.2,13,Low,1,0,2,1,18,9.5,0.0313,0.0236,0.0001
RTE-0013,Warehouse,Mumbai,20.5937,78.9629,19.076,72.8777,658.44,Truck,Medium,48.0,13.72,21893.13,1,Low,0,1,2,1,12,33.25,0.0208,0.0015,0.0
RTE-0014,Warehouse,Lucknow,20.5937,78.9629,26.8467,80.9462,723.98,Truck,Medium,48.0,15.08,24072.34,3,Medium,0,1,2,2,11,33.25,0.0208,0.0041,0.0
RTE-0015,Warehouse,Pune,20.5937,78.9629,18.5204,73.8567,582.53,Van,High,42.0,13.87,13835.09,9,Medium,1,2,0,2,15,23.75,0.0238,0.0154,0.0
RTE-0016,Warehouse,Patna,20.5937,78.9629,25.5941,85.1376,841.18,Truck,Medium,48.0,17.52,27969.23,5,Medium,1,1,2,2,14,33.25,0.0208,0.0059,0.0
RTE-0017,Warehouse,Bangalore,20.5937,78.9629,12.9716,77.5946,859.94,Van,Low,70.0,12.28,20423.58,14,High,1,2,1,0,1,23.75,0.0143,0.0163,0.0001
RTE-0018,Warehouse,Bhopal,20.5937,78.9629,23.2599,77.4126,336.84,Van,Medium,56.0,6.02,7999.95,15,Low,1,2,2,1,2,23.75,0.0179,0.0445,0.0003
RTE-0019,Warehouse,Kochi,20.5937,78.9629,9.9312,76.2673,1220.25,Truck,Medium,48.0,25.42,40573.31,20,Medium,1,1,2,2,9,33.25,0.0208,0.0164,0.0
RTE-0020,Warehouse,Kolkata,20.5937,78.9629,22.5726,88.3639,996.43,Truck,Medium,48.0,20.76,33131.3,11,Low,1,1,2,1,10,33.25,0.0208,0.011,0.0
RTE-0021,Warehouse,Pune,20.5937,78.9629,18.5204,73.8567,582.53,Truck,Low,60.0,9.71,19369.12,2,Medium,1,1,1,2,15,33.25,0.0167,0.0034,0.0
RTE-0022,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Van,Low,70.0,5.15,8556.89,20,High,1,2,1,0,6,23.75,0.0143,0.0555,0.0005
RTE-0023,Warehouse,Pune,20.5937,78.9629,18.5204,73.8567,582.53,Bike,Low,40.0,14.56,5534.04,20,Medium,1,0,1,2,15,9.5,0.025,0.0343,0.0002
RTE-0024,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Van,Medium,56.0,6.43,8556.89,5,Medium,1,2,2,2,6,23.75,0.0178,0.0139,0.0001
RTE-0025,Warehouse,Visakhapatnam,20.5937,78.9629,17.6868,83.2185,551.6,Truck,Low,60.0,9.19,18340.7,24,Medium,1,1,1,2,18,33.25,0.0167,0.0435,0.0001
RTE-0026,Warehouse,Vadodara,20.5937,78.9629,22.3072,73.1812,627.9,Truck,Low,60.0,10.46,20877.68,7,Medium,1,1,1,2,17,33.25,0.0167,0.0111,0.0
RTE-0027,Warehouse,Vadodara,20.5937,78.9629,22.3072,73.1812,627.9,Bike,Low,40.0,15.7,5965.05,2,Medium,0,0,1,2,17,9.5,0.025,0.0032,0.0
RTE-0028,Warehouse,Kolkata,20.5937,78.9629,22.5726,88.3639,996.43,Truck,Medium,48.0,20.76,33131.3,2,Medium,1,1,2,2,10,33.25,0.0208,0.002,0.0
RTE-0029,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Truck,Medium,48.0,7.51,11979.64,11,Medium,1,1,2,2,6,33.25,0.0208,0.0305,0.0001
RTE-0030,Warehouse,Hyderabad,20.5937,78.9629,17.385,78.4867,360.29,Truck,Medium,48.0,7.51,11979.64,6,Medium,1,1,2,2,6,33.25,0.0208,0.0167,0.0001
RTE-0031,Warehouse,Patna,20.5937,78.9629,25.5941,85.1376,841.18,Bike,Medium,32.0,26.29,7991.21,6,Medium,1,0,2,2,14,9.5,0.0313,0.0071,0.0
RTE-0032,Warehouse,Chennai,20.5937,78.9629,13.0827,80.2707,846.68,Truck,Medium,48.0,17.64,28152.11,19,Medium,1,1,2,2,3,33.25,0.0208,0.0224,0.0
